timestamp,joint_7,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
81.613,-0.52734,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.664,-0.52111,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.715,-0.51487,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.766,-0.50864,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.817,-0.50241,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.868,-0.49618,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.919,-0.48995,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.97,-0.48372,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
82.021,-0.47749,-0.02364,0.04084,0.03948,0.38425,-0.6638,-0.64166
82.072,-0.47126,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64166
82.123,-0.46503,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64166
82.174,-0.4588,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64166
82.225,-0.45256,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.276,-0.44633,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.327,-0.4401,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.378,-0.43387,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.429,-0.42764,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.48,-0.42141,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.531,-0.41518,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.582,-0.40895,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.633,-0.40271,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.684,-0.39649,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.735,-0.39025,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.786,-0.38402,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.837,-0.37779,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.888,-0.37156,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64165
82.939,-0.36533,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64164
82.99,-0.3591,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64164
83.041,-0.35287,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64164
83.092,-0.34663,-0.02364,0.04084,0.03948,0.38426,-0.6638,-0.64164
83.143,-0.3404,-0.02364,0.04084,0.03948,0.38426,-0.66381,-0.64164
83.194,-0.33417,-0.02364,0.04084,0.03948,0.38426,-0.66381,-0.64164
83.245,-0.32794,-0.02364,0.04084,0.03948,0.38426,-0.66381,-0.64164
83.296,-0.32171,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64164
83.347,-0.31548,-0.02364,0.04084,0.03948,0.38427,-0.66381,-0.64164
