timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_1_link.x_hat,half_arm_1_link.y_hat,half_arm_1_link.z_hat,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat,forearm_link.x,forearm_link.y,forearm_link.z,forearm_link.x_hat,forearm_link.y_hat,forearm_link.z_hat,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_1_link.x_hat,spherical_wrist_1_link.y_hat,spherical_wrist_1_link.z_hat,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z,spherical_wrist_2_link.x_hat,spherical_wrist_2_link.y_hat,spherical_wrist_2_link.z_hat,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
14.20600,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.90787,0.66842,-0.13239,-0.02487,0.96611,-0.00000,0.00001,-1.00000,-0.13239,-0.01949,0.83773,0.00002,1.00000,0.00001,-0.13238,-0.01312,0.62735,0.00004,0.00001,-1.00000,-0.13237,-0.00674,0.41697,0.00003,1.00000,0.00001,-0.13235,-0.00036,0.20854,0.00010,0.00001,-1.00000,-0.13234,-0.00019,0.10261,-0.00009,1.00000,0.00001,-0.04862,-0.00000,0.03770,0.79028,0.00007,-0.61274
14.25700,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.91410,0.66842,-0.13302,-0.02487,0.96528,-0.00000,0.00001,-1.00000,-0.13302,-0.01949,0.83690,0.00002,1.00000,0.00001,-0.13301,-0.01312,0.62652,0.00004,0.00001,-1.00000,-0.13300,-0.00674,0.41614,0.00003,1.00000,0.00001,-0.13298,-0.00036,0.20771,0.00010,0.00001,-1.00000,-0.13297,-0.00019,0.10178,-0.00009,1.00000,0.00001,-0.04886,-0.00000,0.03740,0.79408,0.00007,-0.60781
14.30800,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.92033,0.66842,-0.13364,-0.02487,0.96447,-0.00000,0.00001,-1.00000,-0.13364,-0.01949,0.83609,0.00002,1.00000,0.00001,-0.13363,-0.01312,0.62571,0.00004,0.00001,-1.00000,-0.13362,-0.00674,0.41533,0.00003,1.00000,0.00001,-0.13360,-0.00036,0.20690,0.00010,0.00001,-1.00000,-0.13359,-0.00019,0.10097,-0.00009,1.00000,0.00001,-0.04908,-0.00000,0.03710,0.79778,0.00007,-0.60295
14.35900,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.92656,0.66842,-0.13427,-0.02487,0.96363,-0.00000,0.00001,-1.00000,-0.13427,-0.01949,0.83525,0.00002,1.00000,0.00001,-0.13426,-0.01312,0.62487,0.00004,0.00001,-1.00000,-0.13425,-0.00674,0.41449,0.00003,1.00000,0.00001,-0.13423,-0.00036,0.20606,0.00010,0.00001,-1.00000,-0.13422,-0.00019,0.10013,-0.00009,1.00000,0.00001,-0.04931,-0.00000,0.03679,0.80152,0.00007,-0.59796
14.41000,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.93279,0.66842,-0.13489,-0.02487,0.96279,-0.00000,0.00001,-1.00000,-0.13489,-0.01949,0.83441,0.00002,1.00000,0.00001,-0.13488,-0.01312,0.62403,0.00004,0.00001,-1.00000,-0.13487,-0.00674,0.41365,0.00003,1.00000,0.00001,-0.13485,-0.00036,0.20522,0.00010,0.00001,-1.00000,-0.13484,-0.00019,0.09929,-0.00009,1.00000,0.00001,-0.04954,-0.00000,0.03648,0.80523,0.00007,-0.59296
14.46100,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.93903,0.66843,-0.13551,-0.02487,0.96195,-0.00000,0.00001,-1.00000,-0.13551,-0.01950,0.83357,0.00002,1.00000,0.00001,-0.13550,-0.01312,0.62319,0.00004,0.00001,-1.00000,-0.13549,-0.00674,0.41281,0.00003,1.00000,0.00001,-0.13547,-0.00036,0.20438,0.00010,0.00001,-1.00000,-0.13546,-0.00019,0.09845,-0.00009,1.00000,0.00001,-0.04977,-0.00000,0.03617,0.80891,0.00008,-0.58793
14.51200,0.00002,-0.00005,0.00001,-0.00006,-0.00012,-0.94526,0.66843,-0.13611,-0.02487,0.96112,-0.00000,0.00001,-1.00000,-0.13611,-0.01950,0.83274,0.00002,1.00000,0.00001,-0.13610,-0.01312,0.62236,0.00005,0.00001,-1.00000,-0.13609,-0.00674,0.41198,0.00003,1.00000,0.00001,-0.13607,-0.00036,0.20355,0.00010,0.00001,-1.00000,-0.13606,-0.00019,0.09762,-0.00009,1.00000,0.00001,-0.04999,-0.00000,0.03587,0.81249,0.00008,-0.58297
14.56300,0.00002,-0.00005,0.00001,-0.00006,-0.00012,-0.95149,0.66843,-0.13671,-0.02487,0.96027,-0.00000,0.00001,-1.00000,-0.13671,-0.01950,0.83189,0.00001,1.00000,0.00001,-0.13670,-0.01312,0.62151,0.00005,0.00001,-1.00000,-0.13669,-0.00674,0.41113,0.00003,1.00000,0.00001,-0.13667,-0.00036,0.20270,0.00010,0.00001,-1.00000,-0.13666,-0.00019,0.09677,-0.00009,1.00000,0.00001,-0.05021,-0.00000,0.03556,0.81611,0.00008,-0.57790
14.61400,0.00001,-0.00005,0.00001,-0.00006,-0.00012,-0.95772,0.66843,-0.13730,-0.02487,0.95944,-0.00000,0.00001,-1.00000,-0.13730,-0.01950,0.83106,0.00001,1.00000,0.00001,-0.13729,-0.01312,0.62068,0.00005,0.00001,-1.00000,-0.13728,-0.00674,0.41030,0.00003,1.00000,0.00001,-0.13726,-0.00036,0.20187,0.00010,0.00001,-1.00000,-0.13725,-0.00019,0.09594,-0.00009,1.00000,0.00001,-0.05043,-0.00000,0.03525,0.81962,0.00008,-0.57290
14.66500,0.00001,-0.00005,0.00002,-0.00006,-0.00012,-0.96395,0.66843,-0.13790,-0.02487,0.95858,-0.00000,0.00001,-1.00000,-0.13790,-0.01950,0.83020,0.00001,1.00000,0.00001,-0.13789,-0.01312,0.61982,0.00005,0.00001,-1.00000,-0.13788,-0.00674,0.40944,0.00003,1.00000,0.00001,-0.13786,-0.00036,0.20101,0.00010,0.00001,-1.00000,-0.13785,-0.00019,0.09508,-0.00009,1.00000,0.00001,-0.05065,-0.00000,0.03493,0.82318,0.00008,-0.56778
